"gene_id","ensmbl_id","refseq_mrna"
"SMCHD1","ENSGALG00010001364",
"TMEM168","ENSGALG00010001479",
"EPB41L3","ENSGALG00010001556",
"PIGA","ENSGALG00010001606","NM_001030808"
"SNX10","ENSGALG00010001888",
"SNX10","ENSGALG00010001888","NM_001030986"
"CMTM6","ENSGALG00010002359",
"SMC6","ENSGALG00010002372",
"SMC6","ENSGALG00010002372","NM_001321614"
"CMPK2","ENSGALG00010002380",
"JPH1","ENSGALG00010002612",
"WDFY2","ENSGALG00010002953",
"WDFY2","ENSGALG00010002953","NM_001079750"
"BF1","ENSGALG00010003110",
"BF1","ENSGALG00010003110","NM_001044683"
"TAP1","ENSGALG00010003131","NM_001135968"
"TAP2","ENSGALG00010003159",
"TAP2","ENSGALG00010003159","NM_001099357"
"EPSTI1","ENSGALG00010003331",
"RSAD2","ENSGALG00010003583","NM_001318443"
"RSAD2","ENSGALG00010003583",
"LY96","ENSGALG00010003869",
"FNDC3A","ENSGALG00010003986",
"FNDC3A","ENSGALG00010003986","NM_001012826"
"PHF11","ENSGALG00010004083","NM_001389464"
"PHF11","ENSGALG00010004083",
"NCOA7","ENSGALG00010004087",
"NCOA7","ENSGALG00010004087","NM_001012878"
"NAAA","ENSGALG00010004146",
"OSBPL1A","ENSGALG00010005172",
"PFKP","ENSGALG00010005472",
"PFKP","ENSGALG00010005472","NM_001389315"
"PFKP","ENSGALG00010005472","NM_001389313"
"PFKP","ENSGALG00010005472","NM_001389314"
"OTUD4","ENSGALG00010006387",
"IRF8","ENSGALG00010006715","NM_205416"
"IRF8","ENSGALG00010006715",
"EIF2AK2","ENSGALG00010007382",
"EIF2AK2","ENSGALG00010007382","NM_204487"
"LY6E","ENSGALG00010008029",
"LY6E","ENSGALG00010008029","NM_204775"
"USP25","ENSGALG00010008058",
"DDX60","ENSGALG00010008064",
"FANCA","ENSGALG00010008083",
"FANCA","ENSGALG00010008083","NM_001134359"
