"gene_name","ensembl_id"
"MAP1A","ENSGALG00010000044"
"TP53BP1","ENSGALG00010000045"
"IQGAP1","ENSGALG00010000047"
"MFAP1","ENSGALG00010000059"
"NF2","ENSGALG00010000153"
"GAL3ST1","ENSGALG00010000200"
"SF3A1","ENSGALG00010000215"
"TBC1D10A","ENSGALG00010000221"
"MTMR3","ENSGALG00010000263"
"ZMAT5","ENSGALG00010000307"
"EWSR1","ENSGALG00010000341"
"ASCC2","ENSGALG00010000376"
"TBX3","ENSGALG00010000443"
"FBXO21","ENSGALG00010000466"
"UPP1","ENSGALG00010000621"
"UCHL3","ENSGALG00010000810"
"KLF5","ENSGALG00010000820"
"P2RY14","ENSGALG00010001122"
"CP","ENSGALG00010001123"
"EIF2A","ENSGALG00010001133"
"GYG1","ENSGALG00010001135"
"CDKN2B","ENSGALG00010001144"
"ALDH7A1","ENSGALG00010001156"
"KPNA4","ENSGALG00010001164"
"IL12A","ENSGALG00010001176"
"PTPN2","ENSGALG00010001185"
"IFRD1","ENSGALG00010001198"
"PANX2","ENSGALG00010001210"
"TFEC","ENSGALG00010001219"
"PLXNB2","ENSGALG00010001220"
"GRM8","ENSGALG00010001223"
"PTX3","ENSGALG00010001230"
"FAM3C","ENSGALG00010001264"
"LPIN2","ENSGALG00010001279"
"TGIF1","ENSGALG00010001288"
"EMILIN2","ENSGALG00010001313"
"SMCHD1","ENSGALG00010001364"
"SCRN1","ENSGALG00010001380"
"MME","ENSGALG00010001385"
"MC2R","ENSGALG00010001410"
"GPR37","ENSGALG00010001448"
"NDC80","ENSGALG00010001457"
"TRA2A","ENSGALG00010001482"
"TIPARP","ENSGALG00010001499"
"RBMS3","ENSGALG00010001504"
"AP1S2","ENSGALG00010001510"
"CAV2","ENSGALG00010001517"
"TBC1D5","ENSGALG00010001521"
"EEF1A1","ENSGALG00010001525"
"NR1D2","ENSGALG00010001528"
"EPB41L3","ENSGALG00010001556"
"INPP5A","ENSGALG00010001567"
